"vendor","originalVendorLabel","title","sourceUrl","selectedImageUrl","originalFile","normalizedFile"
"canada-billiard","Canada Billiard","Aristocrat","https://fgbradleys.com/canada-billiard/#aristocrat","https://fgbradleys.com/wp-content/uploads/Aristocrat_XLthumbnail.jpg","originals/aristocrat.jpg","normalized-1600x1000/aristocrat.png"
"canada-billiard","Canada Billiard","banff","https://fgbradleys.com/canada-billiard/#banff","https://fgbradleys.com/wp-content/uploads/banff_XLthumbnail.jpg","originals/banff.jpg","normalized-1600x1000/banff.png"
"canada-billiard","Canada Billiard","Barn","https://fgbradleys.com/canada-billiard/#barn","https://fgbradleys.com/wp-content/uploads/Barn_XLthumbnail.jpg","originals/barn.jpg","normalized-1600x1000/barn.png"
"canada-billiard","Canada Billiard","Black Crown","https://fgbradleys.com/canada-billiard/#black-crown","https://fgbradleys.com/wp-content/uploads/BlackCrown_XLthumbnail.jpg","originals/black-crown.jpg","normalized-1600x1000/black-crown.png"
"canada-billiard","Canada Billiard","Boulevard","https://fgbradleys.com/canada-billiard/#boulevard","https://fgbradleys.com/wp-content/uploads/Boulevard_XLthumbnail.jpg","originals/boulevard.jpg","normalized-1600x1000/boulevard.png"
"canada-billiard","Canada Billiard","Bridge","https://fgbradleys.com/canada-billiard/#bridge","https://fgbradleys.com/wp-content/uploads/Bridge_XLthumbnail.jpg","originals/bridge.jpg","normalized-1600x1000/bridge.png"
"canada-billiard","Canada Billiard","Canadiana","https://fgbradleys.com/canada-billiard/#canadiana","https://fgbradleys.com/wp-content/uploads/Canadiana_XLthumbnail.jpg","originals/canadiana.jpg","normalized-1600x1000/canadiana.png"
"canada-billiard","Canada Billiard","Canyon","https://fgbradleys.com/canada-billiard/#canyon","https://fgbradleys.com/wp-content/uploads/Canyon_XLthumbnail.jpg","originals/canyon.jpg","normalized-1600x1000/canyon.png"
"canada-billiard","Canada Billiard","cloud","https://fgbradleys.com/canada-billiard/#cloud","https://fgbradleys.com/wp-content/uploads/cloud_XLthumbnail.jpg","originals/cloud.jpg","normalized-1600x1000/cloud.png"
"canada-billiard","Canada Billiard","colonial","https://fgbradleys.com/canada-billiard/#colonial","https://fgbradleys.com/wp-content/uploads/colonial_XLthumbnail.jpg","originals/colonial.jpg","normalized-1600x1000/colonial.png"
"canada-billiard","Canada Billiard","divine","https://fgbradleys.com/canada-billiard/#divine","https://fgbradleys.com/wp-content/uploads/divine_XLthumbnail.jpg","originals/divine.jpg","normalized-1600x1000/divine.png"
"canada-billiard","Canada Billiard","dream","https://fgbradleys.com/canada-billiard/#dream","https://fgbradleys.com/wp-content/uploads/dream_XLthumbnail.jpg","originals/dream.jpg","normalized-1600x1000/dream.png"
"canada-billiard","Canada Billiard","Duchess","https://fgbradleys.com/canada-billiard/#duchess","https://fgbradleys.com/wp-content/uploads/Duchess_XLthumbnail.jpg","originals/duchess.jpg","normalized-1600x1000/duchess.png"
"canada-billiard","Canada Billiard","Elegance","https://fgbradleys.com/canada-billiard/#elegance","https://fgbradleys.com/wp-content/uploads/Elegance_XLthumbnail.jpg","originals/elegance.jpg","normalized-1600x1000/elegance.png"
"canada-billiard","Canada Billiard","euro","https://fgbradleys.com/canada-billiard/#euro","https://fgbradleys.com/wp-content/uploads/euro_XLthumbnail.jpg","originals/euro.jpg","normalized-1600x1000/euro.png"
"canada-billiard","Canada Billiard","Evolution","https://fgbradleys.com/canada-billiard/#evolution","https://fgbradleys.com/wp-content/uploads/Evolution_XLthumbnail.jpg","originals/evolution.jpg","normalized-1600x1000/evolution.png"
"canada-billiard","Canada Billiard","heritage","https://fgbradleys.com/canada-billiard/#heritage","https://fgbradleys.com/wp-content/uploads/heritage_XLthumbnail.jpg","originals/heritage.jpg","normalized-1600x1000/heritage.png"
"canada-billiard","Canada Billiard","Ideal","https://fgbradleys.com/canada-billiard/#ideal","https://fgbradleys.com/wp-content/uploads/Ideal-thumbnailXL.jpg","originals/ideal.jpg","normalized-1600x1000/ideal.png"
"canada-billiard","Canada Billiard","Industria","https://fgbradleys.com/canada-billiard/#industria","https://fgbradleys.com/wp-content/uploads/Industria_XLthumbnail.jpg","originals/industria.jpg","normalized-1600x1000/industria.png"
"canada-billiard","Canada Billiard","invitation","https://fgbradleys.com/canada-billiard/#invitation","https://fgbradleys.com/wp-content/uploads/invitation_XLthumbnail.jpg","originals/invitation.jpg","normalized-1600x1000/invitation.png"
"canada-billiard","Canada Billiard","La Condo","https://fgbradleys.com/canada-billiard/#la-condo","https://fgbradleys.com/wp-content/uploads/LaCondo_XLthumbnail.jpg","originals/la-condo.jpg","normalized-1600x1000/la-condo.png"
"canada-billiard","Canada Billiard","La Condo Stainless","https://fgbradleys.com/canada-billiard/#la-condo-stainless","https://fgbradleys.com/wp-content/uploads/LaCondoStainless_XLthumbnail.jpg","originals/la-condo-stainless.jpg","normalized-1600x1000/la-condo-stainless.png"
"canada-billiard","Canada Billiard","Lacondo Duo","https://fgbradleys.com/canada-billiard/#lacondo-duo","https://fgbradleys.com/wp-content/uploads/LacondoDuo_XLthumbnail.jpg","originals/lacondo-duo.jpg","normalized-1600x1000/lacondo-duo.png"
"canada-billiard","Canada Billiard","laforge","https://fgbradleys.com/canada-billiard/#laforge","https://fgbradleys.com/wp-content/uploads/laforge_XLthumbnail.jpg","originals/laforge.jpg","normalized-1600x1000/laforge.png"
"canada-billiard","Canada Billiard","Loft","https://fgbradleys.com/canada-billiard/#loft","https://fgbradleys.com/wp-content/uploads/Loft_XLthumbnail.jpg","originals/loft.jpg","normalized-1600x1000/loft.png"
"canada-billiard","Canada Billiard","lotus","https://fgbradleys.com/canada-billiard/#lotus","https://fgbradleys.com/wp-content/uploads/lotus_XLthumbnail.jpg","originals/lotus.jpg","normalized-1600x1000/lotus.png"
"canada-billiard","Canada Billiard","lounge","https://fgbradleys.com/canada-billiard/#lounge","https://fgbradleys.com/wp-content/uploads/lounge_XLthumbnail.jpg","originals/lounge.jpg","normalized-1600x1000/lounge.png"
"canada-billiard","Canada Billiard","Luxx","https://fgbradleys.com/canada-billiard/#luxx","https://fgbradleys.com/wp-content/uploads/Luxx_XLthumbnail.jpg","originals/luxx.jpg","normalized-1600x1000/luxx.png"
"canada-billiard","Canada Billiard","Majesty","https://fgbradleys.com/canada-billiard/#majesty","https://fgbradleys.com/wp-content/uploads/Majesty_XLthumbnail.jpg","originals/majesty.jpg","normalized-1600x1000/majesty.png"
"canada-billiard","Canada Billiard","Maze","https://fgbradleys.com/canada-billiard/#maze","https://fgbradleys.com/wp-content/uploads/Maze_XLthumbnail.jpg","originals/maze.jpg","normalized-1600x1000/maze.png"
"canada-billiard","Canada Billiard","monarch","https://fgbradleys.com/canada-billiard/#monarch","https://fgbradleys.com/wp-content/uploads/monarch_XLthumbnail.jpg","originals/monarch.jpg","normalized-1600x1000/monarch.png"
"canada-billiard","Canada Billiard","mystere","https://fgbradleys.com/canada-billiard/#mystere","https://fgbradleys.com/wp-content/uploads/mystere_XLthumbnail.jpg","originals/mystere.jpg","normalized-1600x1000/mystere.png"
"canada-billiard","Canada Billiard","Obsession","https://fgbradleys.com/canada-billiard/#obsession","https://fgbradleys.com/wp-content/uploads/Obsession_XLthumbnail.jpg","originals/obsession.jpg","normalized-1600x1000/obsession.png"
"canada-billiard","Canada Billiard","Onyx","https://fgbradleys.com/canada-billiard/#onyx","https://fgbradleys.com/wp-content/uploads/Onyx_XLthumbnail.jpg","originals/onyx.jpg","normalized-1600x1000/onyx.png"
"canada-billiard","Canada Billiard","Orlando","https://fgbradleys.com/canada-billiard/#orlando","https://fgbradleys.com/wp-content/uploads/Orlando_XLthumbnail.jpg","originals/orlando.jpg","normalized-1600x1000/orlando.png"
"canada-billiard","Canada Billiard","pacific","https://fgbradleys.com/canada-billiard/#pacific","https://fgbradleys.com/wp-content/uploads/pacific_XLthumbnail.jpg","originals/pacific.jpg","normalized-1600x1000/pacific.png"
"canada-billiard","Canada Billiard","prestige","https://fgbradleys.com/canada-billiard/#prestige","https://fgbradleys.com/wp-content/uploads/prestige_XLthumbnail.jpg","originals/prestige.jpg","normalized-1600x1000/prestige.png"
"canada-billiard","Canada Billiard","Queen Ann II","https://fgbradleys.com/canada-billiard/#queen-ann-ii","https://fgbradleys.com/wp-content/uploads/QueenAnnII_XLthumbnail.jpg","originals/queen-ann-ii.jpg","normalized-1600x1000/queen-ann-ii.png"
"canada-billiard","Canada Billiard","Ranch","https://fgbradleys.com/canada-billiard/#ranch","https://fgbradleys.com/wp-content/uploads/Ranch_XLthumbnail.jpg","originals/ranch.jpg","normalized-1600x1000/ranch.png"
"canada-billiard","Canada Billiard","Rebel Snooker","https://fgbradleys.com/canada-billiard/#rebel-snooker","https://fgbradleys.com/wp-content/uploads/RebelSnooker_XLthumbnail.jpg","originals/rebel-snooker.jpg","normalized-1600x1000/rebel-snooker.png"
"canada-billiard","Canada Billiard","Regance","https://fgbradleys.com/canada-billiard/#regance","https://fgbradleys.com/wp-content/uploads/Regance_XLthumbnail.jpg","originals/regance.jpg","normalized-1600x1000/regance.png"
"canada-billiard","Canada Billiard","Revolution","https://fgbradleys.com/canada-billiard/#revolution","https://fgbradleys.com/wp-content/uploads/Revolution_XLthumbnail.jpg","originals/revolution.jpg","normalized-1600x1000/revolution.png"
"canada-billiard","Canada Billiard","Shack","https://fgbradleys.com/canada-billiard/#shack","https://fgbradleys.com/wp-content/uploads/Shack_XLthumbnail.jpg","originals/shack.jpg","normalized-1600x1000/shack.png"
