"vendor","title","sourceUrl","selectedImageUrl","originalFile","normalizedFile"
"california-house","Atherton Pool Table | California House","https://californiahouse.com/product/atherton-pool-table/","https://californiahouse.com/wp-content/uploads/2017/04/AthertonCoastalGlazedGraphite.jpg","california-house/originals/atherton-pool-table.jpg","california-house/normalized-1600x1000/atherton-pool-table.png"
"california-house","Austin Pool Table | California House","https://californiahouse.com/product/austin-pool-table/","https://californiahouse.com/wp-content/uploads/2017/04/AustinAuburnKhaki.jpg","california-house/originals/austin-pool-table.jpg","california-house/normalized-1600x1000/austin-pool-table.png"
"california-house","Basecamp Pool Table | California House","https://californiahouse.com/product/basecamp-pool-table/","https://californiahouse.com/wp-content/uploads/2026/03/basecamp.jpg","california-house/originals/basecamp-pool-table.jpg","california-house/normalized-1600x1000/basecamp-pool-table.png"
"california-house","City Pool Table | California House","https://californiahouse.com/product/city-pool-table/","https://californiahouse.com/wp-content/uploads/2017/04/CityHoneyTitanium.jpg","california-house/originals/city-pool-table.jpg","california-house/normalized-1600x1000/city-pool-table.png"
"california-house","Cypress Pool Table | California House","https://californiahouse.com/product/cypress-pool-table/","https://californiahouse.com/wp-content/uploads/2023/05/CypressJavaCharcoal3.jpg","california-house/originals/cypress-pool-table.jpg","california-house/normalized-1600x1000/cypress-pool-table.png"
"california-house","District Pool Table | California House","https://californiahouse.com/product/district-pool-table/","https://californiahouse.com/wp-content/uploads/2019/07/District-Rustic-White-Oak.jpg","california-house/originals/district-pool-table.jpg","california-house/normalized-1600x1000/district-pool-table.png"
"california-house","Highland Pool Table | California House","https://californiahouse.com/product/highland-pool-table-copy/","https://californiahouse.com/wp-content/uploads/2024/04/Highland.jpg","california-house/originals/highland-pool-table.jpg","california-house/normalized-1600x1000/highland-pool-table.png"
"california-house","Menlo Pool Table | California House","https://californiahouse.com/product/menlo-pool-table/","https://californiahouse.com/wp-content/uploads/2021/02/MenloToastNavy.jpg","california-house/originals/menlo-pool-table.jpg","california-house/normalized-1600x1000/menlo-pool-table.png"
"california-house","Origami Pool Table | California House","https://californiahouse.com/product/origami-pool-table/","https://californiahouse.com/wp-content/uploads/2022/03/OrigamiHoneySteelGrey.jpg","california-house/originals/origami-pool-table.jpg","california-house/normalized-1600x1000/origami-pool-table.png"
"california-house","Rincon Pool Table | California House","https://californiahouse.com/product/rincon-pool-table/","https://californiahouse.com/wp-content/uploads/2025/04/Rincon-Pool-Table.jpg","california-house/originals/rincon-pool-table.jpg","california-house/normalized-1600x1000/rincon-pool-table.png"
"california-house","Sutter Pool Table | California House","https://californiahouse.com/product/sutter-pool-table/","https://californiahouse.com/wp-content/uploads/2024/04/Sutter.jpg","california-house/originals/sutter-pool-table.jpg","california-house/normalized-1600x1000/sutter-pool-table.png"
"california-house","Tahoe Pool Table | California House","https://californiahouse.com/product/tahoe-pool-table/","https://californiahouse.com/wp-content/uploads/2022/06/TahoeCoastalGlazedSteelGrey2.jpg","california-house/originals/tahoe-pool-table.jpg","california-house/normalized-1600x1000/tahoe-pool-table.png"
"california-house","Vista Pool Table | California House","https://californiahouse.com/product/vista-pool-table/","https://californiahouse.com/wp-content/uploads/2022/03/VistaAuburnKhaki2.jpg","california-house/originals/vista-pool-table.jpg","california-house/normalized-1600x1000/vista-pool-table.png"
"california-house","Windansea Pool Table | California House","https://californiahouse.com/product/windansea-pool-table/","https://californiahouse.com/wp-content/uploads/2025/03/Windansea-Pool.jpg","california-house/originals/windansea-pool-table.jpg","california-house/normalized-1600x1000/windansea-pool-table.png"
"olhausen","Americana","https://www.olhausenbilliards.com/shop?productId=cm87qstwa00wjpgzke0rh4mpg","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/americana_pooltable-vOp0SzCXfIxYv7ZanudhMb4FpmFC8d.png","olhausen/originals/americana.png","olhausen/normalized-1600x1000/americana.png"
"olhausen","Augusta","https://www.olhausenbilliards.com/shop?productId=cm87qt08z00x4pgzk2v3c2gsx","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/augusta_pooltable-f1DE52rSM9DDkKBEpDxjj2wxKAai0P.png","olhausen/originals/augusta.png","olhausen/normalized-1600x1000/augusta.png"
"olhausen","Belmont","https://www.olhausenbilliards.com/shop?productId=cm87qtbvv00yhpgzkhp0x2vzd","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/belmont_redo_pooltable-Jnr861gKC9OFJhaivCWqafE1TqRCyH.png","olhausen/originals/belmont.png","olhausen/normalized-1600x1000/belmont.png"
"olhausen","Blackhawk","https://www.olhausenbilliards.com/shop?productId=cm87qtg9m00z1pgzkpu3icshm","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/blackhawk_new-apron_pooltable-GrKiVhcB3rQSyGasMpggaNj05zkorY.png","olhausen/originals/blackhawk.png","olhausen/normalized-1600x1000/blackhawk.png"
"olhausen","Breckenridge","https://www.olhausenbilliards.com/shop?productId=cm87qqgdz00nspgzk1ou3jwge","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/breckenridge_pooltable-QswwVYrI6l7JQi0LxPbyghnOMETbeI.png","olhausen/originals/breckenridge.png","olhausen/normalized-1600x1000/breckenridge.png"
"olhausen","Brentwood","https://www.olhausenbilliards.com/shop?productId=cm87qtpyn0107pgzk27twbndz","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/brentwood_pooltable-hW4FW6EVzKnEbpgn6t78qwmZ4SeIKl.png","olhausen/originals/brentwood.png","olhausen/normalized-1600x1000/brentwood.png"
"olhausen","Chicago","https://www.olhausenbilliards.com/shop?productId=cm87qu14v011gpgzkth5d9o1e","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/chicago_pooltable-lG1NCgXzmeEpWsJzC1SuKhL5xT5aDz.png","olhausen/originals/chicago.png","olhausen/normalized-1600x1000/chicago.png"
"olhausen","Classic","https://www.olhausenbilliards.com/shop?productId=cm87quc3b012spgzkrx5f50um","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/classic_new%20apron_pooltable-h6IzZxcv8ylQmPZ0jcMpvIVH0waSxC.png","olhausen/originals/classic.png","olhausen/normalized-1600x1000/classic.png"
"olhausen","Durango","https://www.olhausenbilliards.com/shop?productId=cm87qql5u00o3pgzk98hawngl","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Durango_Breck_PT-m28Ff4EfuD8UPPpQyxbmzouUeYN086.png","olhausen/originals/durango.png","olhausen/normalized-1600x1000/durango.png"
"olhausen","Encore","https://www.olhausenbilliards.com/shop?productId=cmekfta5f0001lb04r08h467v","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/The%20Encore_trans%20copy%202-jG9XyONMJvugbdWnq3XTH8ZwgF6X3n.jpg","olhausen/originals/encore.jpg","olhausen/normalized-1600x1000/encore.png"
"olhausen","Hampton","https://www.olhausenbilliards.com/shop?productId=cm87qv92e013rpgzk7g8stfzq","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/hampton_pooltable-T8qydaDRXdXD9ZKuiE53cFj5Lwwb5u.png","olhausen/originals/hampton.png","olhausen/normalized-1600x1000/hampton.png"
"olhausen","Heritage","https://www.olhausenbilliards.com/shop?productId=cm87qjvt4004bpgzk6hw27j2o","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/heritage_pooltable-KBnBKjXpOE3LHJrK2Pg9DGhNdvLonQ.png","olhausen/originals/heritage.png","olhausen/normalized-1600x1000/heritage.png"
"olhausen","Laguna","https://www.olhausenbilliards.com/shop?productId=cm87qkabp005npgzkg06dfjd1","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/laguna_pooltable-mctcYIDa3bZzqpg1yjxyLxVBArlpOw.png","olhausen/originals/laguna.png","olhausen/normalized-1600x1000/laguna.png"
"olhausen","Luxor","https://www.olhausenbilliards.com/shop?productId=cm87ql5er0087pgzki17030zs","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/luxor_pooltable-pNNVIFkZjhZwuwiUsGgGEVfvCoyPLK.png","olhausen/originals/luxor.png","olhausen/normalized-1600x1000/luxor.png"
"olhausen","Madison","https://www.olhausenbilliards.com/shop?productId=cm87qlmo5009gpgzkmktrq2tc","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/madison_pooltable-iAS0dCDKjfOr4IU4CfffaQiuD8ydNT.png","olhausen/originals/madison.png","olhausen/normalized-1600x1000/madison.png"
"olhausen","Metro","https://www.olhausenbilliards.com/shop?productId=cm87qxgcb018lpgzkyp8qu3jp","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Metro_Matte%20Coral%20Ash-RrQlhl0HR51xomOzzZaShTNjfmHwH5.png","olhausen/originals/metro.png","olhausen/normalized-1600x1000/metro.png"
"olhausen","Monarch","https://www.olhausenbilliards.com/shop?productId=cm87qn6ep00dqpgzk5yf7geql","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/monarch_pooltable-bvq5q5YQnfIhk2OkgZtE0xIDCkHAED.png","olhausen/originals/monarch.png","olhausen/normalized-1600x1000/monarch.png"
