"vendor","originalVendorLabel","title","sourceUrl","selectedImageUrl","originalFile","normalizedFile"
"olhausen","Olhausen traditional","Americana","https://www.olhausenbilliards.com/shop?productId=cm87qstwa00wjpgzke0rh4mpg","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/americana_pooltable-vOp0SzCXfIxYv7ZanudhMb4FpmFC8d.png","originals/americana.png","normalized-1600x1000/americana.png"
"olhausen","Olhausen traditional","Augusta","https://www.olhausenbilliards.com/shop?productId=cm87qt08z00x4pgzk2v3c2gsx","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/augusta_pooltable-f1DE52rSM9DDkKBEpDxjj2wxKAai0P.png","originals/augusta.png","normalized-1600x1000/augusta.png"
"olhausen","Olhausen traditional","Belmont","https://www.olhausenbilliards.com/shop?productId=cm87qtbvv00yhpgzkhp0x2vzd","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/belmont_redo_pooltable-Jnr861gKC9OFJhaivCWqafE1TqRCyH.png","originals/belmont.png","normalized-1600x1000/belmont.png"
"olhausen","Olhausen traditional","Blackhawk","https://www.olhausenbilliards.com/shop?productId=cm87qtg9m00z1pgzkpu3icshm","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/blackhawk_new-apron_pooltable-GrKiVhcB3rQSyGasMpggaNj05zkorY.png","originals/blackhawk.png","normalized-1600x1000/blackhawk.png"
"olhausen","Olhausen rustic ","Breckenridge","https://www.olhausenbilliards.com/shop?productId=cm87qqgdz00nspgzk1ou3jwge","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/breckenridge_pooltable-QswwVYrI6l7JQi0LxPbyghnOMETbeI.png","originals/breckenridge.png","normalized-1600x1000/breckenridge.png"
"olhausen","Olhausen traditional","Brentwood","https://www.olhausenbilliards.com/shop?productId=cm87qtpyn0107pgzk27twbndz","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/brentwood_pooltable-hW4FW6EVzKnEbpgn6t78qwmZ4SeIKl.png","originals/brentwood.png","normalized-1600x1000/brentwood.png"
"olhausen","Olhausen traditional","Chicago","https://www.olhausenbilliards.com/shop?productId=cm87qu14v011gpgzkth5d9o1e","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/chicago_pooltable-lG1NCgXzmeEpWsJzC1SuKhL5xT5aDz.png","originals/chicago.png","normalized-1600x1000/chicago.png"
"olhausen","Olhausen traditional","Classic","https://www.olhausenbilliards.com/shop?productId=cm87quc3b012spgzkrx5f50um","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/classic_new%20apron_pooltable-h6IzZxcv8ylQmPZ0jcMpvIVH0waSxC.png","originals/classic.png","normalized-1600x1000/classic.png"
"olhausen","Olhausen rustic ","Durango","https://www.olhausenbilliards.com/shop?productId=cm87qql5u00o3pgzk98hawngl","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Durango_Breck_PT-m28Ff4EfuD8UPPpQyxbmzouUeYN086.png","originals/durango.png","normalized-1600x1000/durango.png"
"olhausen","Olhausen","Encore","https://www.olhausenbilliards.com/shop?productId=cmekfta5f0001lb04r08h467v","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/The%20Encore_trans%20copy%202-jG9XyONMJvugbdWnq3XTH8ZwgF6X3n.jpg","originals/encore.jpg","normalized-1600x1000/encore.png"
"olhausen","Olhausen traditional","Hampton","https://www.olhausenbilliards.com/shop?productId=cm87qv92e013rpgzk7g8stfzq","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/hampton_pooltable-T8qydaDRXdXD9ZKuiE53cFj5Lwwb5u.png","originals/hampton.png","normalized-1600x1000/hampton.png"
"olhausen","Olhausen","Heritage","https://www.olhausenbilliards.com/shop?productId=cm87qjvt4004bpgzk6hw27j2o","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/heritage_pooltable-KBnBKjXpOE3LHJrK2Pg9DGhNdvLonQ.png","originals/heritage.png","normalized-1600x1000/heritage.png"
